date,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,gross_spend_usd,spend_share,unique_bundle_count,,,,,,WITH main as (WITH fact_dsp_creative AS (
2025-05-31,USA,ANDROID,RMG,Statics,6.87873075,17.14284763,0,,1775.847822,9971.063296,0.534110074,4,,,,,,-- ) > 0
2025-06-12,USA,IOS,Sportsbetting,Video,24.73880275,76.58304408,0.02777777778,1602.174506,899.0991256,25148.26321,0.71140365,4,,,,,,"-- THEN COALESCE(SUM(fact_dsp_creative.kpi_actions_d7), 0)"
2025-07-03,USA,IOS,RMG,Statics,2.868244083,40.05247798,0.01829896907,30.73152748,359.1021353,40040.65464,0.553831555,12,,,,,,-- ELSE NULL
2024-08-29,USA,IOS,RMG,Statics,0.739667267,18.29846439,0.05888823506,253.0534815,194.5359033,53630.80028,0.521187451,15,,,,,,"--END AS kpi_actions_d7,"
2024-09-27,USA,IOS,RMG,Statics,0.406632083,20.48114811,0.02364864865,136.6983583,221.4802735,37327.58183,0.633319109,12,,,,,,
2024-10-03,USA,IOS,RMG,Statics,0.407332286,23.12883561,0.08086384977,126.8833458,184.8498101,44412.47479,0.546284805,14,,,,,,"COALESCE(SUM(f.kpi_users_d7), 0) AS pi_users_d7,"
2024-11-16,USA,ANDROID,RMG,Playables,115.1034518,43.30327668,0.0350877193,718.3744578,260.2594616,15357.94789,0.556141388,8,,,,,,"COALESCE(SUM(f.gross_spend_usd), 0) AS gross_spend_usd,"
2024-11-19,USA,ANDROID,RMG,Video,91.50596009,20.92456717,0.05451977401,1016.131116,260.0826372,117664.9575,0.89933987,32,,,,,,"SAFE_DIVIDE(COALESCE(SUM(f.gross_spend_usd), 0), COALESCE(SUM(f.kpi_users_d7), 0)) AS avg_user_spend,"
2024-12-28,USA,ANDROID,RMG,Statics,3.482066333,8.112037684,,,101.5923338,5322.265391,0.362249654,3,,,,,,"--SAFE_DIVIDE(COALESCE(SUM(fact_dsp_creative.kpi_actions_d7), 0), COALESCE(SUM(fact_dsp_creative.installs), 0)) AS ftd"
2025-04-19,USA,IOS,RMG,Video,49.12011024,43.92154668,0.1111111111,866.0959744,447.5942171,207427.3135,0.780336901,29,,,,,,
2025-05-12,USA,IOS,Sportsbetting,Statics,0.51338275,86.66072,0.0404040404,133.6125215,432.2734181,20374.59981,0.391267406,4,,,,,,FROM fact_dsp_creative f left join moloco-ae-view.athena.dim1_app m on f.product.app_market_bundle = m.app_market_bundle and f.campaign.os = m.os
2025-05-30,USA,IOS,Sportsbetting,Video,19.8976165,66.94320915,0.04090909091,691.1386451,438.7175778,33704.09578,0.631738859,4,,,,,,left join ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles a on f.product.app_market_bundle = a.app_market_bundle
2025-08-07,USA,IOS,RMG,Video,32.20590044,35.09673633,0.05705094538,544.8439384,432.5174376,157953.8426,0.792527845,27,,,,,,WHERE
2025-08-12,USA,ANDROID,RMG,Playables,85.84574533,19.39320273,0.02631578947,2053.464496,458.475956,8114.454982,0.636182245,6,,,,,,timestamp_utc >= TIMESTAMP('2024-08-01 00:00:00')
2025-08-13,USA,IOS,RMG,Statics,0.396003364,34.96743058,0.05348988911,22.81722768,388.2588885,35785.92702,0.419115557,11,,,,,,AND f.product.app_market_bundle IN
2024-10-27,USA,IOS,RMG,Video,34.36924133,40.44852688,0.1424808247,952.2035811,385.1960085,195891.5148,0.83747099,24,,,,,,(SELECT app_market_bundle FROM ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles)
2024-11-01,USA,IOS,Sportsbetting,Video,16.03681375,32.84658962,0.06671460254,342.5382899,239.6412133,22170.35964,0.666308025,4,,,,,,"--AND fact_dsp_creative.product.sub_genre IN ('Casinos & Gambling', 'Fantasy Sports', 'Sports Betting')"
