date,os,vertical,country,dau,avg_user_spend,cftd,avg_cpm,avg_cpi,avg_ftd_rate,total_gross_spend,,,Exclude MAU from the final output
2024-08-01,IOS,Sportsbetting,USA,1444865,283.8995213,415.0014823,14.336002,33.71122729,0.08490857165,11664.18132,,,
2024-08-01,ANDROID,RMG,USA,551997,180.7411799,1209.852916,34.05539758,19.72562501,0.06652017129,90771.5566,,,
2024-08-01,ANDROID,Sportsbetting,USA,547122,,,,,,,,,WITH daily_agg AS (
2024-08-01,IOS,RMG,USA,868258,166.7927437,334.2248073,24.98139932,18.7593916,0.06479390058,181721.2752,,,SELECT
2024-08-01,IOS,RMG,PHL,9696,,,,,,,,,"f.date_utc AS date,"
2024-08-01,IOS,Sportsbetting,PHL,630,,,,,,,,,"f.os,"
2024-08-01,ANDROID,Sportsbetting,PHL,4536,55.90767362,55.90767362,1.83945,1.348422555,0.0241187384,726.7997571,,,CASE
2024-08-01,ANDROID,RMG,PHL,87847,8.650300495,,1.867398167,0.754759295,,4434.046769,,,"WHEN f.dim1_app.sub_genre IN ('Sports Betting', 'Fantasy Sports') THEN 'Sportsbetting'"
2024-08-01,IOS,RMG,GBR,1016787,150.6174517,159.9713537,11.79523767,17.47916075,0.0723034396,24588.37663,,,WHEN f.dim1_app.sub_genre = 'Casinos & Gambling' THEN 'RMG'
2024-08-01,IOS,Sportsbetting,GBR,1040554,231.3056232,231.3056232,9.7005255,8.104341629,0.03458390232,7411.168263,,,ELSE 'Other'
2024-08-01,ANDROID,RMG,GBR,652541,245.8372845,214.3797098,15.53621491,21.54785282,0.0675036075,5539.983269,,,"END AS grouped_category,"
2024-08-01,ANDROID,Sportsbetting,GBR,457985,164.1213915,164.1213915,6.867216,23.87230533,0.2222222222,467.5937637,,,"f.country,"
2024-08-01,ANDROID,Sportsbetting,ESP,275006,280.0537011,280.0537011,3.499,8.826799928,0.05,291.0064455,,,"SUM(f.monthly.active_users) AS total_MAU,"
2024-08-01,IOS,RMG,ESP,82635,,,10.93383333,10.20685976,,49.94799577,,,SUM(f.daily.active_users) AS total_DAU
2024-08-01,ANDROID,RMG,ESP,596501,,,8.474448,7.539235745,,132.576482,,,FROM
2024-08-01,IOS,Sportsbetting,ESP,251084,78.29686573,78.29686573,2.5509365,10.10885481,0.1289210234,1483.541357,,,`moloco-ae-view.athena.fact_app` f
2024-08-01,ANDROID,Sportsbetting,DEU,59017,29.4203169,29.4203169,5.4539035,10.59833188,0.5,65.32713911,,,JOIN `moloco-ae-view.athena.dim1_app` d
2024-08-01,ANDROID,RMG,DEU,198997,239.7763718,,11.7665865,12.82285334,,1393.020802,,,ON f.app_market_bundle = d.app_market_bundle
2024-08-01,IOS,Sportsbetting,DEU,79586,145.0371285,145.0371285,3.539006,13.88077548,0.03488372093,1481.760972,,,AND f.os = d.os
2024-08-01,IOS,RMG,DEU,221991,184.5472772,,18.08046979,19.21447881,,7004.083196,,,WHERE
2024-08-01,IOS,RMG,CAN,328326,242.0939381,,10.033221,27.33046611,0,4859.173005,,,"f.dim1_app.sub_genre IN ('Sports Betting', 'Fantasy Sports', 'Casinos & Gambling')"
2024-08-01,ANDROID,RMG,CAN,340958,59.61357635,,13.36307583,10.59188406,,913.5262447,,,AND f.date_utc >= '2024-08-01'
2024-08-01,IOS,Sportsbetting,CAN,125272,125.8325843,125.8325843,0.536375,3.813108616,0.0303030303,125.8325843,,,"AND f.country IN ('GBR', 'USA','ESP','AUS','BRA','CAN','PHL','DEU')"
2024-08-01,ANDROID,Sportsbetting,CAN,32247,,,,,,,,,GROUP BY
2024-08-01,IOS,RMG,BRA,346960,22.48695156,,11.46180133,7.62352935,,874.0092838,,,"date, f.os, grouped_category, f.country"
2024-08-01,ANDROID,Sportsbetting,BRA,300325,,,1.038938,0.709297764,,89.37151832,,,"),"
2024-08-01,ANDROID,RMG,BRA,878145,13.96334682,,5.015653846,1.534511179,,7129.978569,,,
2024-08-01,IOS,Sportsbetting,BRA,32743,,,,,,,,,main AS (
2024-08-01,ANDROID,Sportsbetting,AUS,141213,,,,,,,,,SELECT
2024-08-01,IOS,RMG,AUS,233985,438.1736729,,8.9092105,18.14396124,,5016.33349,,,"date,"
2024-08-01,IOS,Sportsbetting,AUS,628265,,,,,,,,,"os,"
2024-08-01,ANDROID,RMG,AUS,195050,,,16.2792055,19.51943766,,670.3484042,,,"grouped_category,"
2024-08-02,IOS,Sportsbetting,USA,1562708,103.6358912,72.24862996,17.5159322,34.8141057,0.05445973924,14432.50913,,,"country,"
2024-08-02,ANDROID,Sportsbetting,USA,564706,,,,,,,,,MAX(total_MAU) OVER (
2024-08-02,ANDROID,RMG,USA,548071,166.8312952,629.1310664,34.28451066,16.66334178,0.03643856144,91662.98309,,,"PARTITION BY os, grouped_category, country"
2024-08-02,IOS,RMG,USA,780573,210.2857732,738.424284,26.01408306,20.87906217,0.07543848251,189089.0015,,,ORDER BY date
2024-08-02,ANDROID,RMG,PHL,93435,11.41844262,,1.831924167,0.777827587,,4361.153077,,,ROWS BETWEEN UNBOUNDED PRECEDING AND UNBOUNDED FOLLOWING
2024-08-02,ANDROID,Sportsbetting,PHL,4889,57.5060004,57.5060004,2.112987,1.369190486,0.02380952381,690.0720048,,,") AS MAU,"
2024-08-02,IOS,RMG,PHL,10542,,,,,,,,,SUM(total_DAU) AS DAU
2024-08-02,IOS,Sportsbetting,PHL,646,,,,,,,,,FROM
2024-08-02,IOS,RMG,GBR,1160034,137.4191953,120.0087059,13.04625645,18.05412828,0.07840652648,26402.18,,,daily_agg
