period_start,period_end,os,sub_genre,state,n_apps,cpm_bm,ctr_bm,ipm_bm,cvr_bm,i2a_bm,cpi_bm,cpftd_bm,cohort_imp,cohort_clk,cohort_ins,cohort_act,cohort_spend,cpm_weighted,cpi_weighted,cpftd_weighted,total_spend_all_states_ytd,state_spend_share
2025-01-01,2025-09-01,IOS,RMG,KS,3,$0.94,1.62%,$0.09,$0.01,$0.94,$9.04,$11.97,608956,4555,57,48,$513.78,$0.84,$9.01,$10.70,"$1,823,644.05",0.03%
2025-01-01,2025-09-01,IOS,RMG,IA,3,$0.94,1.52%,$0.06,$0.01,$0.93,$15.50,$25.60,673378,3805,40,42,$442.91,$0.66,$11.07,$10.55,"$1,823,644.05",0.02%
2025-01-01,2025-09-01,IOS,RMG,LA,2,,,,,,,,,,,,$357.63,,,,"$1,823,644.05",0.02%
2025-01-01,2025-09-01,IOS,RMG,MD,2,,,,,,,,,,,,$337.73,,,,"$1,823,644.05",0.02%
2025-01-01,2025-09-01,IOS,RMG,RI,3,$0.60,0.99%,$0.15,$0.01,$0.55,$7.78,$14.26,340456,2043,30,16,$225.74,$0.66,$7.52,$14.11,"$1,823,644.05",0.01%
2025-01-01,2025-09-01,IOS,RMG,DE,3,$0.91,1.38%,$0.11,$0.01,$1.20,$8.16,$9.06,269137,2047,19,12,$178.44,$0.66,$9.39,$14.87,"$1,823,644.05",0.01%
2025-01-01,2025-09-01,IOS,Sportsbetting,PA,8,$0.45,0.79%,0.03762438366,0.001169590643,0.1313765725,$10.57,$123.26,278746597,5504432,12377,7692,"$491,685.21",$1.76,$39.73,$63.92,"$5,663,405.21",8.68%
2025-01-01,2025-09-01,IOS,Sportsbetting,NC,8,$0.73,0.97%,0.03490858315,0.001018006406,0.118627451,$15.11,$82.99,218572769,5763228,9697,5563,"$463,777.13",$2.12,$47.83,$83.37,"$5,663,405.21",8.19%
2025-01-01,2025-09-01,IOS,RMG,WY,3,$0.92,1.34%,$0.16,$0.01,$0.58,$5.58,$20.43,96678,689,12,5,$74.10,$0.77,$6.18,$14.82,"$1,823,644.05",0.00%
2025-01-01,2025-09-01,IOS,Sportsbetting,NY,5,$0.27,0.57%,0.03794519335,0.0271531608,0.4591503268,$10.84,$13.32,151928091,5228933,22982,272524,"$395,884.28",$2.61,$17.23,$1.45,"$5,663,405.21",6.99%
