week_utc,week_start,week_end,os,format_type,sub_genre,n_apps,cpm_bm,ctr_bm,ipm_bm,cvr_bm,i2a_bm,cpa_bm,cpi_bm,cpftd_bm,cohort_imp,cohort_clk,cohort_ins,cohort_act,cohort_spend,cpm_weighted,cpi_weighted,cpftd_weighted,format_spend_share
2025-05-19,2025-05-19,2025-05-25,IOS,Video,Sportsbetting,13,$15.16,20.46%,0.25,0.04%,13.28%,$309.50,$25.52,$309.50,23644348,3472950,7441,846,"$239,742.83",10.13954077,32.21916818,283.3839604,60.61%
2025-05-26,2025-05-26,2025-06-01,IOS,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-05-26,2025-05-26,2025-06-01,ANDROID,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-05-26,2025-05-26,2025-06-01,ANDROID,Statics,RMG,4,$3.45,1.75%,0.13,0.06%,6.01%,$217.68,$31.52,$340.18,3013148,647790,1012,21,"$39,502.01",13.10987993,39.03360522,1881.048023,40.13%
2025-05-26,2025-05-26,2025-06-01,ANDROID,Video,RMG,5,$48.29,29.94%,1.63,0.02%,4.96%,$177.70,$32.83,$569.98,1175723,360838,2134,102,"$58,933.76",50.12554487,27.61656794,577.7819214,59.87%
2025-05-26,2025-05-26,2025-06-01,IOS,Statics,RMG,9,$0.51,0.22%,0.02,0.08%,11.55%,$179.38,$30.75,$200.12,111792413,798124,2576,287,"$97,615.98",0.87318963,37.89440054,340.1253512,29.96%
2025-05-26,2025-05-26,2025-06-01,IOS,Video,RMG,11,$35.31,28.50%,0.46,0.03%,11.31%,$427.36,$29.08,$427.36,13126638,1827588,3384,509,"$228,165.77",17.38188972,67.42487413,448.2628174,70.04%
2025-05-26,2025-05-26,2025-06-01,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$63.96,,,,0.06%
2025-05-26,2025-05-26,2025-06-01,IOS,Playables,Sportsbetting,2,,,,,,,,,,,,,"$12,928.15",,,,3.01%
2025-05-26,2025-05-26,2025-06-01,ANDROID,Statics,Sportsbetting,7,$1.17,0.41%,0.05,0.08%,7.07%,$379.96,$18.47,$379.96,18256065,75357,1114,96,"$21,229.33",1.162864514,19.05684934,221.1388559,18.79%
2025-05-26,2025-05-26,2025-06-01,ANDROID,Video,Sportsbetting,7,$27.38,32.97%,1.23,0.02%,8.11%,$765.06,$19.14,$765.06,2223656,654571,2390,147,"$91,713.26",41.24435465,38.37374757,623.8997054,81.16%
2025-05-26,2025-05-26,2025-06-01,IOS,Video,Sportsbetting,11,$14.66,21.19%,0.34,0.03%,8.02%,$218.47,$28.12,$282.96,19763785,3325523,7580,858,"$237,526.07",12.01824796,31.33589298,276.83691,55.24%
2025-05-26,2025-05-26,2025-06-01,IOS,Statics,Sportsbetting,12,$0.65,0.24%,0.03,0.11%,12.07%,$176.33,$19.91,$176.33,279671554,1509524,8168,947,"$179,573.71",0.642087874,21.9850286,189.6237736,41.76%
2025-06-02,2025-06-02,2025-06-08,IOS,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-06-02,2025-06-02,2025-06-08,ANDROID,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-06-02,2025-06-02,2025-06-08,ANDROID,Statics,RMG,3,$7.08,5.02%,0.33,0.02%,3.28%,$660.50,$36.60,$660.50,1156294,244563,417,14,"$17,371.74",15.02363845,41.6588561,1240.838785,29.28%
2025-06-02,2025-06-02,2025-06-08,ANDROID,Video,RMG,5,$71.05,27.31%,1.33,0.02%,3.67%,$725.10,$33.84,$925.48,675826,202419,1411,52,"$41,964.87",62.09419524,29.74122721,807.0167613,70.72%
2025-06-02,2025-06-02,2025-06-08,IOS,Statics,RMG,8,$0.43,0.20%,0.03,0.21%,16.18%,$160.28,$34.69,$174.42,101122126,539732,2250,303,"$73,456.74",0.72641607,32.64743883,242.4314765,29.14%
2025-06-02,2025-06-02,2025-06-08,IOS,Video,RMG,10,$24.95,14.92%,0.37,0.02%,12.94%,$456.59,$31.66,$631.71,7251011,1467276,2797,508,"$178,617.26",24.63342853,63.86030077,351.608782,70.86%
2025-06-02,2025-06-02,2025-06-08,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$116.02,,,,0.10%
2025-06-02,2025-06-02,2025-06-08,IOS,Playables,Sportsbetting,2,,,,,,,,,,,,,"$1,893.98",,,,0.43%
2025-06-02,2025-06-02,2025-06-08,ANDROID,Statics,Sportsbetting,7,$1.22,0.59%,0.05,0.12%,8.91%,$158.82,$19.39,$223.95,17903068,91197,1080,109,"$23,925.44",1.336387434,22.15318066,219.4994047,20.83%
2025-06-02,2025-06-02,2025-06-08,ANDROID,Video,Sportsbetting,7,$28.78,32.46%,1.26,0.02%,7.35%,$256.01,$20.78,$629.97,1927508,653289,2388,176,"$90,809.81",47.11254759,38.02755962,515.964843,79.07%
2025-06-02,2025-06-02,2025-06-08,IOS,Statics,Sportsbetting,12,$0.46,0.22%,0.03,0.14%,11.68%,$117.65,$18.01,$117.65,286948652,1721516,11358,1367,"$185,181.71",0.645347891,16.30407708,135.4657699,41.75%
2025-06-02,2025-06-02,2025-06-08,IOS,Video,Sportsbetting,12,$16.60,21.71%,0.59,0.03%,10.45%,$185.21,$21.28,$203.53,18627034,3812701,7991,914,"$256,421.36",13.7660865,32.08877003,280.5485353,57.82%
2025-06-09,2025-06-09,2025-06-15,ANDROID,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-06-09,2025-06-09,2025-06-15,IOS,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-06-09,2025-06-09,2025-06-15,ANDROID,Statics,RMG,3,$8.11,5.09%,0.34,0.06%,11.19%,"$3,881.62",$44.80,"$3,979.62",1027318,188223,293,5,"$17,707.91",17.23702528,60.43654038,3541.581266,27.22%
2025-06-09,2025-06-09,2025-06-15,ANDROID,Video,RMG,4,$67.48,30.48%,1.62,0.02%,3.65%,$758.94,$30.67,"$1,005.07",770980,231319,1622,38,"$47,338.05",61.39984576,29.18498957,1245.738239,72.78%
2025-06-09,2025-06-09,2025-06-15,IOS,Statics,RMG,8,$0.41,0.15%,0.03,0.22%,12.50%,$185.31,$33.16,$185.31,96981238,492911,2040,257,"$73,285.85",0.755670408,35.92443711,285.1589561,31.73%
2025-06-09,2025-06-09,2025-06-15,IOS,Video,RMG,10,$26.35,15.83%,0.37,0.02%,10.99%,$515.52,$37.43,$666.15,6446723,1182217,2479,433,"$157,652.54",24.45467872,63.59521571,364.0936253,68.27%
2025-06-09,2025-06-09,2025-06-15,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$72.03,,,,0.07%
2025-06-09,2025-06-09,2025-06-15,IOS,Playables,Sportsbetting,2,,,,,,,,,,,,,"$1,243.81",,,,0.31%
2025-06-09,2025-06-09,2025-06-15,ANDROID,Statics,Sportsbetting,7,$1.13,0.63%,0.04,0.05%,6.45%,$314.96,$26.37,$416.23,15445524,114870,783,44,"$22,310.97",1.444494416,28.49421861,507.067572,20.72%
2025-06-09,2025-06-09,2025-06-15,ANDROID,Video,Sportsbetting,7,$30.10,32.87%,1.05,0.03%,5.96%,$238.66,$28.54,$510.53,1805658,580537,2010,149,"$85,285.13",47.23216265,42.4304141,572.3834385,79.21%
2025-06-09,2025-06-09,2025-06-15,IOS,Video,Sportsbetting,11,$16.70,19.90%,0.90,0.04%,10.44%,$178.44,$19.32,$207.44,16747452,3081538,7202,812,"$234,749.61",14.01703419,32.59505794,289.1005016,59.33%
2025-06-09,2025-06-09,2025-06-15,IOS,Statics,Sportsbetting,11,$0.40,0.13%,0.02,0.18%,10.24%,$168.80,$18.97,$168.80,227228141,1475426,8437,845,"$159,656.53",0.702626561,18.92337646,188.9426357,40.35%
2025-06-16,2025-06-16,2025-06-22,ANDROID,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-06-16,2025-06-16,2025-06-22,IOS,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-06-16,2025-06-16,2025-06-22,ANDROID,Statics,RMG,3,$5.11,2.86%,0.26,0.04%,4.49%,$430.64,$40.64,$430.64,1342465,264691,477,17,"$21,241.10",15.82245818,44.53060024,1249.476254,29.62%
2025-06-16,2025-06-16,2025-06-22,ANDROID,Video,RMG,4,$59.72,31.48%,1.82,0.02%,3.93%,$772.79,$34.31,"$1,051.51",923523,277295,1797,44,"$50,475.10",54.65494453,28.08853553,1147.161326,70.38%
