utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,total_gross_spend
2025-07-07,USA,ANDROID,Sportsbetting,Statics,1.486835,26.51465502,0.0125,2598.509025,247.9573549,9889.875269
2025-06-16,PHL,ANDROID,RMG,Video,6.7716106,2.571298873,,,37.25466966,17348.40551
2024-08-26,USA,IOS,RMG,Statics,0.551767575,17.56487452,0.09065718204,355.817948,232.3370686,443923.4811
2025-08-25,GBR,IOS,RMG,Video,35.23184408,64.56786254,0.08765939574,820.8958514,623.6494597,31990.31032
2024-10-07,BRA,ANDROID,RMG,Video,14.155943,2.998017713,,,22.0473476,41696.9339
2025-04-14,GBR,ANDROID,RMG,Video,30.58491386,18.53845745,0.04242819843,75.50749115,171.3253038,80855.61777
2025-03-17,USA,IOS,RMG,Statics,0.50442095,25.65564859,0.1090920919,200.7562075,332.4625095,578318.9403
2024-10-07,GBR,IOS,RMG,Statics,0.1248637,16.89700591,0,,237.6635944,18800.77679
2024-12-02,ESP,IOS,Sportsbetting,Statics,1.223253,30.74053611,0.1455696203,211.1741176,212.1992347,43713.04234
2025-06-30,PHL,ANDROID,Sportsbetting,Video,8.131367,5.091522092,0.01110083256,458.6612818,14.18540047,5503.935382
2024-12-16,GBR,ANDROID,RMG,Video,31.946455,15.27683366,0.02220274613,190.8200116,299.055712,35362.33218
2025-06-09,PHL,ANDROID,RMG,Video,11.838645,3.604042097,,,94.51438497,16720.40778
2024-10-28,DEU,IOS,Sportsbetting,Video,7.1632985,51.81514112,0.1052631579,413.3253718,1078.436737,4223.500333
2025-03-31,AUS,ANDROID,RMG,Video,16.952475,0.805807645,,,,24.17422935
2025-08-18,GBR,ANDROID,Sportsbetting,Statics,0.221011,38.86257315,,,1476.77778,1476.77778
2025-04-07,GBR,IOS,Sportsbetting,Statics,2.124935,14.00936017,0.08095106858,172.6623654,173.0684922,43191.09592
2025-05-26,PHL,IOS,RMG,Video,5.287916,2.407502504,,,8.987593546,3469.211109
2024-12-09,GBR,IOS,Sportsbetting,Statics,1.675432667,18.43341918,0.07369525594,237.3394144,184.7858536,49806.65217
2025-06-16,BRA,IOS,RMG,Video,6.33826,1.340811243,,,,3109.341273
2025-06-02,DEU,IOS,RMG,Video,42.245217,30.58029183,0,,283.889778,4920.962039
2025-08-11,DEU,IOS,Sportsbetting,Statics,0.433598,13.67078783,0.07178217822,190.4482166,190.4482166,11045.99656
2025-03-03,CAN,IOS,Sportsbetting,Video,43.363631,118.9898021,,,,118.9898021
2024-08-05,DEU,IOS,Sportsbetting,Statics,0.425465,10.83710491,0.04755244755,227.8979414,227.8979414,7748.530007
2025-06-23,AUS,IOS,Sportsbetting,Video,9.991623,40.24698527,0.3509933775,114.6659392,114.6659392,6077.294776
2025-08-18,AUS,ANDROID,Sportsbetting,Statics,0.260652,43.33111629,0.15625,277.3191442,277.3191442,1386.595721
2025-06-16,USA,ANDROID,RMG,Video,76.61624896,24.01954292,0.07764191016,950.3096519,273.4599527,738503.3081
2025-06-30,CAN,IOS,RMG,Video,25.88481763,40.88787152,0.01650438169,3344.013152,540.2392847,19191.56474
2025-06-09,USA,ANDROID,RMG,Statics,2.993300813,16.70367641,0.03863636364,992.5979849,438.6494244,90854.87362
2024-09-16,AUS,IOS,RMG,Playables,33.687493,20.41205067,0,,241.6523417,7491.222594
2024-09-02,BRA,IOS,RMG,Statics,0.107436,4.797511267,,,18.53560899,303.7449712
2024-10-28,ESP,IOS,Sportsbetting,Video,5.249422,33.56942394,0.1506024096,222.900975,232.1885156,5572.524374
2025-01-06,GBR,IOS,Sportsbetting,Video,7.887264,16.22296752,0.0665999816,243.52215,243.52215,30189.7788
2025-03-10,ESP,ANDROID,Sportsbetting,Statics,0.39687,18.9516207,0.08955223881,211.6264311,211.6264311,3809.27576
2025-05-12,AUS,ANDROID,RMG,Playables,44.116279,7.302141152,,,112.1046213,1487.891458
2025-03-10,CAN,IOS,Sportsbetting,Video,43.863912,58.14161495,,,,116.2832299
2024-09-16,DEU,IOS,RMG,Playables,61.987866,16.31736589,,,628.0717682,3866.071316
2024-10-07,ESP,IOS,Sportsbetting,Video,5.588817,39.50135679,0.1568627451,251.8211496,251.8211496,6043.707589
2025-06-09,USA,IOS,RMG,Statics,1.457626268,32.16932463,0.01916601917,785.7790567,389.0119599,359513.3892
2025-07-21,USA,ANDROID,RMG,Statics,3.444556633,20.52591491,0.08018018018,1073.826698,237.6730831,58845.47628
2024-11-04,USA,IOS,RMG,Playables,65.14866635,27.94436248,0.07411764706,785.3362257,262.3504906,89284.63595
2025-04-28,DEU,ANDROID,RMG,Playables,90.5664475,144.1448352,,,,670.0152976
2024-08-19,AUS,IOS,RMG,Playables,33.188518,12.85303295,0,,258.4887737,4652.797927
2024-07-29,CAN,ANDROID,RMG,Statics,0.635909,10.66065213,,,86.69012211,655.1207049
2024-10-14,USA,ANDROID,Sportsbetting,Playables,2.927076,58.3802682,0.08695652174,671.3730843,671.3730843,1342.746169
2025-05-26,ESP,ANDROID,Sportsbetting,Video,5.691973,14.44199645,0.01282051282,992.4774255,661.4460151,3967.442479
2025-06-16,BRA,IOS,RMG,Statics,0.0513425,1.880680295,0.0777027027,32.60363971,32.60363971,1144.061976
2025-05-12,GBR,ANDROID,RMG,Statics,0.191162625,13.83146009,0,,371.5225565,3182.068544
2025-02-24,USA,IOS,RMG,Statics,0.569868667,25.87751946,0.1058343124,590.0394383,294.5657385,617004.835
2024-10-14,ESP,IOS,RMG,Statics,0.04398,8.115596156,,,,40.57798078
2025-06-09,USA,IOS,Sportsbetting,Video,19.7008465,54.72482193,0.06339919432,458.802888,369.7127808,213404.5038
2025-03-31,BRA,ANDROID,RMG,Video,7.44415975,3.595215191,,,76.76928419,51852.03784
