utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,gross_spend_usd,spend_share,unique_bundle_count,,https://moloco.looker.com/explore/ads_bpd_china/fact_dsp_all_joined?qid=kwWfa0cZQn2kEMQOesyzK6,,,WITH main as (WITH fact_dsp_creative AS (
2025-07-07,DEU,ANDROID,RMG,Video,28.334229,12.53096964,0,,203.9596404,52705.78548,0.956652961,5,,,,,-- WHERE action.event_name = 'FIRST_DEPOSIT'
2024-10-07,USA,IOS,RMG,Video,44.07753195,27.34754004,0.1239897031,780.6135404,346.9090733,1011748.775,0.737814804,39,,,,,-- )
2024-11-11,USA,IOS,RMG,Playables,62.98533908,34.0622829,0.1026538349,1036.504516,286.0559704,88925.01896,0.373443232,12,,,,,-- ) > 0
2025-07-07,USA,ANDROID,RMG,Playables,90.25362067,16.69618638,0.025,1327.14626,202.080931,86098.04602,0.448684934,15,,,,,"-- THEN COALESCE(SUM(fact_dsp_creative.kpi_actions_d7), 0)"
2025-07-07,USA,ANDROID,RMG,Video,74.09450695,21.30409973,0.07503652144,900.5202157,267.5523722,473463.2876,0.73656149,37,,,,,-- ELSE NULL
2025-07-21,USA,IOS,RMG,Statics,1.163947286,26.30285624,0.03105564006,2111.573158,292.4358531,346238.1801,0.311257451,28,,,,,"--END AS kpi_actions_d7,"
2025-08-04,USA,IOS,RMG,Playables,67.88899418,26.61954966,0.04242424242,254.5856799,318.2108358,399059.618,0.334396237,17,,,,,
2024-09-30,USA,ANDROID,RMG,Playables,147.261266,22.23917616,0.05362736783,1031.935924,313.9648939,105380.2555,0.330130002,11,,,,,"COALESCE(SUM(f.kpi_users_d7), 0) AS pi_users_d7,"
2024-10-14,USA,IOS,Sportsbetting,Statics,0.54449125,12.0933418,0.09510917228,102.0587289,88.45765529,77710.01105,0.540771252,4,,,,,"COALESCE(SUM(f.gross_spend_usd), 0) AS gross_spend_usd,"
2025-04-21,USA,IOS,RMG,Statics,0.374890152,27.16836764,0.03444065883,300.8333399,337.605965,379383.8968,0.384010519,33,,,,,"SAFE_DIVIDE(COALESCE(SUM(f.gross_spend_usd), 0), COALESCE(SUM(f.kpi_users_d7), 0)) AS avg_user_spend,"
2025-07-28,USA,ANDROID,Sportsbetting,Statics,1.075607667,28.22397192,0.01449275362,1614.20627,564.1472552,9510.892994,0.60259848,3,,,,,"--SAFE_DIVIDE(COALESCE(SUM(fact_dsp_creative.kpi_actions_d7), 0), COALESCE(SUM(fact_dsp_creative.installs), 0)) AS ftd"
2024-12-09,USA,ANDROID,RMG,Statics,3.61569085,17.20099886,0.1,540.2566487,162.1237923,62709.22541,0.215594089,20,,,,,
2024-08-19,GBR,IOS,RMG,Video,20.2318637,29.05552822,0.09532346741,248.5030541,229.7409882,92768.66326,0.554012648,10,,,,,FROM fact_dsp_creative f left join moloco-ae-view.athena.dim1_app m on f.product.app_market_bundle = m.app_market_bundle and f.campaign.os = m.os
2024-09-09,USA,IOS,RMG,Video,48.09680609,25.81221193,0.1162720518,478.7292208,293.1519516,1219280.359,0.702389642,44,,,,,left join ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles a on f.product.app_market_bundle = a.app_market_bundle
2025-05-19,AUS,ANDROID,RMG,Video,32.59758633,8.622414275,,,102.6549447,15690.72036,0.934777491,3,,,,,WHERE
2024-12-02,USA,IOS,RMG,Video,49.98648071,31.91536286,0.0994760258,992.5987789,273.1151706,797859.8957,0.66052613,35,,,,,timestamp_utc >= TIMESTAMP('2024-08-01 00:00:00')
