date_utc,os,format_type,sub_genre,n_apps,cpm_bm,ctr_bm,ipm_bm,cvr_bm,i2a_bm,cpa_bm,cpi_bm,cpftd_bm,cohort_imp,cohort_clk,cohort_ins,cohort_act,cohort_spend,cpm_weighted,cpi_weighted,cpftd_weighted,format_spend_share
2024-08-11,ANDROID,All,Sportsbetting,3,$3.45,1.63%,0.1048621063,0.0002795921368,0.05902079142,671.4501484,46.05728698,728.2086854,1009741,32588,127,7,"$6,905.24",6.838620205,54.37193075,986.4621721,1
2024-08-11,IOS,All,Sportsbetting,6,$1.64,1.46%,0.2191824372,0.0008786911002,0.0799249531,102.805428,27.52746791,128.6648669,15986664,180197,3591,163,"$22,573.68",1.412031986,6.286182376,138.4888399,1
2024-08-12,ANDROID,All,RMG,6,$12.68,8.26%,0.8358734521,0.0003224593583,0.02870702785,300.5504959,9.221752713,449.7629464,1109302,62167,808,27,"$9,781.16",8.817400843,12.10539652,362.2651996,1
2024-08-12,IOS,All,RMG,6,$2.39,2.56%,0.06574548382,0.0002138752699,0.1059081814,480.0550938,52.12847021,480.0550938,10096854,185361,520,51,"$20,237.78",2.004364684,38.91880303,396.8191681,1
2024-08-12,ANDROID,All,Sportsbetting,3,$3.67,2.14%,0.1330849082,0.0003720930233,0.07692307692,340.9111826,27.54765963,340.9111826,829287,27673,127,9,"$5,627.11",6.785480772,44.30796057,625.2345547,1
2024-08-12,IOS,All,Sportsbetting,6,$1.46,0.95%,0.2060959365,0.001483901867,0.1029898649,55.26901838,23.6000657,85.36417518,14135973,151617,3920,158,"$21,024.81",1.487326629,5.3634717,133.0684118,1
2024-08-13,ANDROID,All,RMG,6,$12.37,8.29%,0.8675920253,0.0002744968841,0.0436210848,428.5218734,11.97545745,525.352884,1078849,61659,745,26,"$9,899.60",9.176072832,13.28804966,380.7537307,1
2024-08-13,IOS,All,RMG,6,$2.26,2.32%,0.06113307171,0.000203719421,0.08831168831,858.2048962,49.84919657,858.2048962,10792620,169342,517,44,"$19,166.08",1.775850096,37.07171232,435.5926197,1
2024-08-13,ANDROID,All,Sportsbetting,3,$3.76,2.33%,0.09649316277,0.0002597014733,0.05279503106,688.1361259,55.102535,688.1361259,855747,27675,120,6,"$5,175.17",6.047546939,43.12641792,862.5283584,1
2024-08-13,IOS,All,Sportsbetting,6,$1.51,0.94%,0.2193327915,0.001337280269,0.1180044084,99.82723591,30.71395115,186.0552283,14260959,152052,4050,209,"$26,461.75",1.855537836,6.533765187,126.6112393,1
2024-08-14,IOS,All,RMG,6,$2.12,2.33%,0.1318286805,0.0002287282708,0.1388888889,332.3457054,30.08301644,332.3457054,11249599,172138,576,60,"$19,477.95",1.731435232,33.81588898,324.6325342,1
2024-08-14,ANDROID,All,RMG,6,$12.33,6.88%,0.7052146648,0.0003656968012,0.03343616732,266.5309544,9.938286117,423.7088822,1081986,55339,780,22,"$9,436.53",8.721493957,12.09812098,428.93338,1
2024-08-14,ANDROID,All,Sportsbetting,3,$3.89,2.48%,0.2074141117,0.0003007453999,0.05981391227,625.2843572,22.41011699,625.2843572,1015727,31274,168,8,"$5,621.63",5.534585295,33.46206975,702.7034647,1
2024-08-14,IOS,All,Sportsbetting,6,$1.43,0.84%,0.2006741718,0.002798782284,0.07659574468,52.12823241,20.57967422,52.12823241,14453296,155772,7243,341,"$25,911.20",1.792753522,3.577412303,75.98591586,1
2024-08-15,ANDROID,All,RMG,6,$12.89,6.91%,0.7719014615,0.0006670067093,0.08910891089,148.8487866,11.68086854,280.1859512,1061761,56830,770,33,"$9,986.70",9.405791338,12.9697434,302.627346,1
2024-08-15,IOS,All,RMG,6,$2.43,2.50%,0.0610747984,0.00017265856,0.07619047619,811.8869635,51.27366411,811.8869635,8694285,170571,537,43,"$19,650.76",2.26019219,36.59358483,456.9943035,1
2024-08-15,ANDROID,All,Sportsbetting,3,$3.80,2.66%,0.181357608,0.0002549719531,0.06451612903,573.8536622,52.16851475,573.8536622,1033625,44118,174,10,"$8,094.12",7.830813073,46.51795496,809.4124163,1
2024-08-15,IOS,All,Sportsbetting,6,$1.13,0.57%,0.1847984652,0.002600062847,0.1582700989,56.65151735,20.73184765,69.92481476,18945419,186853,3784,412,"$29,915.44",1.57903287,7.905771495,72.61028965,1
2024-08-16,ANDROID,All,RMG,6,$11.91,6.44%,0.5826580244,0.000383523685,0.03885821017,274.2779978,12.63001013,407.561043,1111895,58546,750,21,"$10,398.22",9.351796116,13.86428712,495.1531115,1
2024-08-16,IOS,All,RMG,6,$2.20,2.02%,0.05170142875,0.0002509266959,0.1110204082,592.4751991,53.32242667,611.1194303,11638373,180746,629,57,"$21,768.76",1.870429485,34.60851513,381.9080003,1
2024-08-16,ANDROID,All,Sportsbetting,3,$2.44,1.80%,0.09461659801,0.0001903311762,0.05813953488,"1,204.02",55.98505461,"1,204.02",1476409,42176,168,7,"$8,366.72",5.666940764,49.80191873,1195.24605,1
2024-08-16,IOS,All,Sportsbetting,6,$1.06,0.40%,0.1383226647,0.005451165285,0.1898848606,46.78490135,22.44873249,54.62380254,22848991,206914,3772,565,"$37,219.18",1.628920013,9.867226598,65.87465262,1
2024-08-17,ANDROID,All,RMG,6,$12.93,6.97%,0.5493832937,0.0004068035481,0.04304534314,301.1990667,13.3661972,422.4256032,1106302,61853,803,24,"$11,022.78",9.963626362,13.72699847,459.2824905,1
2024-08-17,IOS,All,RMG,6,$2.57,2.28%,0.05105416571,0.0002207866871,0.1103087649,591.663469,61.69753905,591.663469,12293751,194327,608,61,"$23,870.32",1.941662615,39.26038934,391.3166675,1
2024-08-17,ANDROID,All,Sportsbetting,3,$4.54,3.48%,0.1265736335,0.000286553478,0.09677419355,902.5060388,77.12445208,902.5060388,2108520,76272,252,13,"$13,253.88",6.285867758,52.59475351,1019.529068,1
2024-08-17,IOS,All,Sportsbetting,6,$0.98,0.37%,0.1322637221,0.004105182264,0.206399222,57.91246456,29.42187132,79.19251234,28026120,410217,4307,602,"$62,777.72",2.23997188,14.57574198,104.2819281,1
2024-08-18,IOS,All,RMG,6,$2.48,2.19%,0.06465295663,0.0002456353042,0.09112762238,649.1584442,54.58939908,649.1584442,10600405,178606,515,50,"$22,526.51",2.12506138,43.7407986,450.5302256,1
2024-08-18,ANDROID,All,RMG,6,$14.64,7.66%,0.6195853483,0.0002493974288,0.0303017091,453.7588984,14.26854157,815.6358866,1005722,59270,754,17,"$10,288.42",10.22988401,13.64511857,605.2011414,1
2024-08-18,ANDROID,All,Sportsbetting,3,$4.53,3.92%,0.1681763005,0.0001649711301,0.05194805195,753.0963037,65.4866351,753.0963037,1649701,75254,256,12,"$11,840.35",7.177269983,46.25136511,986.6957891,1
2024-08-18,IOS,All,Sportsbetting,6,$0.98,0.42%,0.170958844,0.003197020644,0.2099867725,59.53420218,23.93221399,99.93016708,26489325,316196,4810,624,"$44,141.16",1.666375557,9.176957112,70.73904441,1
2024-08-19,IOS,All,RMG,6,$2.41,1.86%,0.05616410433,0.0002713725559,0.1051198257,640.8762071,49.84237387,640.8762071,11848667,152446,510,48,"$19,709.07",1.663399775,38.64523535,410.6056256,1
2024-08-19,ANDROID,All,RMG,6,$16.28,8.47%,0.6534488948,0.0003193537663,0.02585919253,487.8937848,15.56823562,731.8406773,933440,55865,764,14,"$10,244.75",10.97525837,13.40935232,731.7675124,1
2024-08-19,ANDROID,All,Sportsbetting,3,$4.20,4.36%,0.2320122284,0.0001512218706,0.03788634098,"1,031.29",50.50415882,"1,031.29",1016876,45912,215,7,"$8,235.11",8.098445433,38.30285952,1176.444971,1
2024-08-19,IOS,All,Sportsbetting,7,$1.58,1.18%,0.1720251108,0.001384696817,0.1332972282,57.31842566,33.50064131,118.9951891,19243436,221393,3073,249,"$29,462.28",1.531029987,9.587464227,118.3223999,1
2024-08-20,IOS,All,RMG,6,$2.86,2.11%,0.07727314263,0.0002236069265,0.0734375,767.2034846,48.53734294,767.2034846,9804123,156778,593,53,"$20,777.15",2.119226127,35.03735854,392.0217663,1
2024-08-20,ANDROID,All,RMG,6,$17.24,8.95%,0.7198448976,0.0003519085535,0.03119593426,322.3166903,12.10867325,586.4565497,877486,55050,818,17,"$9,985.66",11.37985426,12.20741173,587.391929,1
2024-08-20,ANDROID,All,Sportsbetting,3,$3.53,3.98%,0.197962464,0.0001378694053,0.03795049145,"1,176.82",70.60834108,"1,176.82",975630,42722,160,6,"$7,841.56",8.037435336,49.00976898,1306.927173,1
2024-08-20,IOS,All,Sportsbetting,7,$3.59,3.13%,0.1713599465,0.0009818082264,0.1597542243,53.34586566,19.29593429,143.3016391,19514684,269948,2674,278,"$35,843.54",1.836747043,13.40446453,128.9335904,1
2024-08-21,IOS,All,RMG,6,$3.60,2.03%,0.06664486992,0.0002426104632,0.1323234014,593.340303,58.94155486,593.340303,9996625,151961,546,65,"$20,601.70",2.060865205,37.73204511,316.9491789,1
2024-08-21,ANDROID,All,RMG,6,$16.17,9.07%,0.7907850843,0.00006177796998,0.0119047619,"2,367.65",12.17823392,"2,367.65",881631,54976,848,5,"$9,815.79",11.13367609,11.57522876,1963.158797,1
2024-08-21,ANDROID,All,Sportsbetting,3,$4.35,5.01%,0.1690635818,0.0002213001383,0.06557377049,874.8571247,51.4621838,874.8571247,957933,49879,161,12,"$8,583.21",8.960134543,53.31185443,715.2673803,1
2024-08-21,IOS,All,Sportsbetting,7,$4.54,4.10%,0.1781552528,0.001160835802,0.1761006289,54.35326332,24.23309256,131.0053013,19724174,318861,3164,306,"$39,012.74",1.977915267,12.3301975,127.4926303,1
2024-08-22,ANDROID,All,RMG,6,$16.28,9.30%,0.7910906025,0.000175176807,0.01278409091,522.3202561,10.54777824,"1,116.23",839345,58070,905,10,"$10,203.71",12.15675129,11.27481593,1020.370841,1
2024-08-22,IOS,All,RMG,6,$3.35,2.32%,0.0615696514,0.0001573923953,0.066401649,854.2778604,61.60876955,854.2778604,8610651,154865,593,49,"$21,299.39",2.473609838,35.91802871,434.6814495,1
2024-08-22,ANDROID,All,Sportsbetting,5,$4.64,5.76%,0.2448900344,0.000312329195,0.08421052632,348.1807955,39.17007887,348.1807955,1032315,62655,248,17,"$9,630.46",9.328990428,38.83248691,566.4974561,1
2024-08-22,IOS,All,Sportsbetting,8,$2.05,1.46%,0.2598055219,0.001924184967,0.2282453245,44.38070464,16.91798382,83.81898025,23717477,415459,3787,499,"$46,208.81",1.94830227,12.20195782,92.60283423,1
2024-08-23,IOS,All,RMG,6,$3.33,2.65%,0.09998386225,0.0002502636741,0.116734143,721.0146365,29.67173709,721.0146365,10392595,173863,637,70,"$23,199.70",2.232329857,36.42025135,331.4242872,1
2024-08-23,ANDROID,All,RMG,6,$14.77,8.13%,0.7074942319,0.0003035844879,0.02379679144,535.7441355,13.09180912,892.341139,853249,57393,838,13,"$10,299.43",12.07083643,12.2904882,792.263778,1
2024-08-23,ANDROID,All,Sportsbetting,5,$4.84,5.36%,0.1933215023,0.0001621336792,0.03846153846,881.953227,25.04882335,881.953227,1891186,84253,322,15,"$11,791.89",6.235180352,36.62076332,786.1257192,1
2024-08-23,IOS,All,Sportsbetting,8,$1.16,0.55%,0.1551429956,0.001351523079,0.1772525665,83.20464924,19.25285901,125.4787529,32735811,491806,6666,527,"$59,227.39",1.809253931,8.884997708,112.3859482,1
2024-08-24,IOS,All,RMG,6,$3.53,2.71%,0.07153212192,0.0002785432037,0.1097952629,660.0503934,63.55359939,679.1459287,11241068,171799,550,59,"$22,657.84",2.015630941,41.19608087,384.0312623,1
2024-08-24,ANDROID,All,RMG,6,$12.85,7.13%,0.767351625,0.0002379318661,0.02548435171,573.6767373,11.89906057,687.3177076,940207,58803,850,11,"$10,256.42",10.90868357,12.06637724,932.4018773,1
2024-08-24,ANDROID,All,Sportsbetting,5,$5.94,5.84%,0.1873528669,0.0002547770701,0.07216494845,527.1327974,31.68602183,527.1327974,2570937,123098,408,30,"$15,753.76",6.127633081,38.61215346,525.125287,1
2024-08-24,IOS,All,Sportsbetting,8,$1.32,0.95%,0.1829697317,0.001515419453,0.2107657039,90.58300138,17.8629047,122.7469925,35414148,745462,8974,687,"$78,939.21",2.229030247,8.796434929,114.9042315,1
