date,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,total_gross_spend
2024-08-06,USA,IOS,Sportsbetting,Playables,52.589962,95.08265118,,,,95.08265118
2024-08-06,USA,ANDROID,RMG,Playables,41.751316,7.717509862,0,,131.403899,1408.469931
2024-08-06,USA,IOS,RMG,Playables,73.222977,23.81564579,0,,251.7025641,5911.945463
2024-08-06,USA,ANDROID,RMG,Statics,1.527499242,12.92908588,0.125,432.1713488,67.82868711,8182.039994
2024-08-07,USA,IOS,RMG,Statics,0.417245833,15.85162406,0.04540196645,694.1827711,195.4056542,41271.55574
2024-08-07,USA,IOS,Sportsbetting,Statics,1.218159667,20.56505936,0.06271777003,77.84016572,140.6026621,6848.635785
2024-08-07,USA,ANDROID,RMG,Video,62.73369286,13.91809585,0.05947712418,529.4864641,195.3458322,78741.42085
2024-08-07,USA,IOS,RMG,Video,39.48144907,19.65688092,0.1101886792,390.1901172,250.7319147,150134.1036
2024-08-07,USA,IOS,Sportsbetting,Video,33.971176,46.45128494,0.09538369305,275.4135735,238.284713,9710.655509
2024-08-07,USA,ANDROID,RMG,Statics,1.532448242,13.99461353,0,,81.02867829,8295.407141
2024-08-07,USA,ANDROID,RMG,Playables,42.260796,5.824580813,0,,120.8641022,1572.166151
2024-08-07,USA,IOS,RMG,Playables,64.37988827,11.87117582,0,,162.6507026,5663.40684
2024-08-08,USA,IOS,Sportsbetting,Video,33.48731533,53.58456667,0.05914142959,663.4562959,517.5638582,12153.49022
2024-08-08,USA,IOS,RMG,Statics,0.391876389,16.91646273,0.08587848933,366.9310984,169.8327427,38229.07524
2024-08-08,USA,IOS,RMG,Video,37.68950726,23.05312772,0.08232114467,629.1680271,222.477122,153700.5503
2024-08-08,USA,IOS,Sportsbetting,Statics,1.232693,14.99779035,0.06695778748,55.95029913,112.5963916,6153.885888
2024-08-08,USA,ANDROID,RMG,Video,63.56370423,12.76284117,0.04589830893,657.116188,181.132231,82556.18927
2024-08-08,USA,IOS,Sportsbetting,Playables,39.741293,46.81524275,,,,93.6304855
2024-08-08,USA,ANDROID,RMG,Statics,1.529294394,13.89064982,0,,67.55752346,8401.149096
2024-08-08,USA,IOS,RMG,Playables,75.69058677,25.05165053,0,,231.465874,6614.501215
2024-08-08,USA,ANDROID,RMG,Playables,48.205957,6.047962147,0,,116.9563091,1577.03308
2024-08-09,USA,IOS,Sportsbetting,Video,29.62228867,48.79762044,0.0826396429,336.9386512,285.9191815,13077.43203
2024-08-09,USA,IOS,RMG,Statics,0.397446029,17.10329287,0.09995543672,342.5905905,192.5650271,42628.00844
2024-08-09,USA,IOS,Sportsbetting,Statics,1.146324,14.37722724,0.06469500924,71.64385383,84.82510436,5971.575389
2024-08-09,USA,IOS,RMG,Video,37.27106993,26.97975046,0.08435944141,798.6752414,254.4197562,156698.2931
2024-08-09,USA,ANDROID,RMG,Video,63.4054523,13.23519254,0.06453823954,571.4393935,190.4231874,84948.21094
2024-08-09,USA,ANDROID,Sportsbetting,Video,21.613961,0.259367535,,,,0.778102604
2024-08-09,USA,IOS,Sportsbetting,Playables,46.632436,27.04681271,,,,81.14043813
2024-08-09,USA,ANDROID,RMG,Statics,1.747450543,11.22422452,0,,74.59186785,8818.662082
2024-08-09,USA,ANDROID,RMG,Playables,48.80280233,7.006288114,0,,93.97115539,1538.035659
2024-08-09,USA,IOS,RMG,Playables,75.25674836,24.2298922,0,,122.339361,5835.398323
2024-08-10,USA,ANDROID,RMG,Statics,1.702095771,12.18301621,0.07196969697,434.5615786,108.462275,8543.684994
2024-08-10,USA,IOS,RMG,Video,39.11723809,25.48081338,0.05697751323,1468.347904,288.1661515,167923.0197
2024-08-10,USA,ANDROID,RMG,Video,64.43788119,14.0129033,0.02837301587,539.953247,191.589105,89699.45069
2024-08-10,USA,IOS,Sportsbetting,Statics,1.021585,17.33080548,0.09398496241,44.34846094,97.29411848,5984.216544
2024-08-10,USA,IOS,RMG,Statics,0.402549886,19.46567206,0.09948778566,423.7349187,208.8478264,41509.62546
2024-08-10,USA,IOS,Sportsbetting,Video,32.90096233,54.85229544,0.07109902785,647.3487149,499.2349988,14786.64484
2024-08-10,USA,ANDROID,Sportsbetting,Statics,1.197147,65.26327142,,,,195.7898143
2024-08-10,USA,ANDROID,Sportsbetting,Playables,34.423494,114.9056219,,,,229.8112438
2024-08-10,USA,ANDROID,RMG,Playables,46.84972167,3.934113439,0,,154.3805131,1571.56828
2024-08-10,USA,ANDROID,Sportsbetting,Video,35.960036,4.324964841,0,,,302.7475389
2024-08-10,USA,IOS,RMG,Playables,78.21541158,26.20671126,0,,156.8830428,6261.133197
2024-08-11,USA,IOS,RMG,Statics,0.383394147,19.00801683,0.09664902998,710.3315798,210.7432324,38296.50056
2024-08-11,USA,IOS,RMG,Video,40.42434517,24.40262363,0.06767654314,889.784124,261.8493073,172154.1619
2024-08-11,USA,IOS,Sportsbetting,Statics,1.207373333,18.41486715,0.0534351145,88.37913688,123.6020279,5393.873075
2024-08-11,USA,IOS,Sportsbetting,Video,31.333463,54.61580118,0.07859848485,356.486583,299.4908554,14469.07261
2024-08-11,USA,ANDROID,RMG,Video,63.35716791,13.75709888,0.05061195,888.2780344,241.4812471,89789.9464
2024-08-11,USA,ANDROID,Sportsbetting,Playables,33.661674,170.900319,,,,170.900319
2024-08-11,USA,ANDROID,Sportsbetting,Video,40.994386,30.32673614,,,,272.9406252
2024-08-11,USA,ANDROID,Sportsbetting,Statics,1.147503,50.24026837,,,,200.9610735
2024-08-11,USA,ANDROID,RMG,Playables,47.91267167,4.654639133,0,,122.7073347,1496.978977
2024-08-11,USA,IOS,RMG,Playables,79.91242346,20.89393202,0,,136.6717256,6496.400842
