date_utc,os,state,subgenre,gross_spend,installs,d7_users,cpm,cpi,spend_share_state_level,avg_user_spend,unique_app_bundles
2024-08-15,IOS,WV,Sportsbetting,74.36774,14,,1.091652575,5.311981429,0.44%,,1
2024-08-15,IOS,WV,RMG,436.995336,10,,8.750757659,43.6995336,6.95%,,1
2024-08-15,ANDROID,WV,Sportsbetting,487.500554,10,,18.43381056,48.7500554,5.86%,,1
2024-08-15,IOS,WY,Sportsbetting,19.762754,4,,0.713456823,4.9406885,0.12%,,1
2024-08-16,IOS,AZ,Sportsbetting,990.971662,94,202,1.552269044,10.54225172,3.80%,4.905800307,1
2024-08-16,ANDROID,AZ,Sportsbetting,54.127176,2,,1.619604309,27.063588,4.60%,,1
2024-08-16,IOS,CO,Sportsbetting,820.930456,68,246,1.543392472,12.07250671,3.15%,3.337115675,1
2024-08-16,IOS,CT,Sportsbetting,413.322174,48,122,1.343586608,8.610878625,1.59%,3.387886672,1
2024-08-16,IOS,CT,RMG,482.000698,6,2,4.320318896,80.33344967,8.64%,241.000349,1
2024-08-16,ANDROID,CT,Sportsbetting,352.835546,2,,8.838565782,176.417773,4.18%,,1
