date,os,subgenre,format,total_gross_spend,total_installs,avg_cpi,avg_cpm,avg_spend_share,avg_user_spend,count_of_bundles,country
2024-08-06,IOS,RMG,Playables,223.2127582,2,111.6063791,108.7781473,0.022420929,,1,U.S.
2024-08-06,ANDROID,RMG,Statics,686.1476434,72,15.07033036,0.955496365,0.056561969,38.53787452,3,U.S.
2024-08-06,ANDROID,Sportsbetting,Statics,864.3426976,8,108.0428372,1.790055664,0.090787549,432.1713488,1,U.S.
2024-08-06,ANDROID,Sportsbetting,Video,8656.155538,136,63.64820248,64.35899075,0.909212451,1082.019442,1,U.S.
2024-08-06,ANDROID,RMG,Video,15061.97865,1098,13.00524451,37.27123924,0.957578524,258.2784314,4,U.S.
2024-08-06,IOS,RMG,Video,30024.24786,640,60.57378716,27.73974583,0.744251291,517.1232488,4,U.S.
2024-08-06,IOS,RMG,Statics,6615.976474,288,39.99057085,0.56090162,0.333524635,190.2840265,3,U.S.
2024-08-06,IOS,Sportsbetting,Statics,12524.80437,1410,15.17614067,1.588865813,0.281956296,68.90428835,3,U.S.
2024-08-06,IOS,Sportsbetting,Video,19777.16689,1210,71.24363251,35.03668932,0.712298415,133.7149014,3,U.S.
2024-08-07,ANDROID,RMG,Statics,724.7533897,60,32.19625514,0.945989518,0.055070592,,3,U.S.
2024-08-07,ANDROID,Sportsbetting,Video,8118.68637,136,59.69622331,63.72495228,0.880972543,811.868637,1,U.S.
2024-08-07,ANDROID,Sportsbetting,Statics,1096.908861,14,78.35063291,1.928942986,0.119027457,,1,U.S.
2024-08-07,ANDROID,RMG,Video,15992.31189,1060,18.18322637,38.42418854,0.958697056,447.1350856,4,U.S.
2024-08-07,IOS,RMG,Video,31336.20735,680,57.30418572,26.52753139,0.752586678,484.1204905,4,U.S.
2024-08-07,IOS,RMG,Statics,6819.411268,282,46.25891711,0.550810322,0.321007859,620.8743033,3,U.S.
2024-08-07,IOS,Sportsbetting,Statics,13697.27157,1392,20.56505936,1.218159504,0.316325149,140.6026621,3,U.S.
2024-08-07,IOS,Sportsbetting,Video,19421.31102,1042,46.45128494,33.97117597,0.680217043,238.284713,3,U.S.
2024-08-08,IOS,Sportsbetting,Playables,187.260971,4,46.81524275,39.74129266,0.017179251,,1,U.S.
2024-08-08,IOS,RMG,Playables,353.0687731,2,176.5343865,100.8767923,0.034346865,,1,U.S.
2024-08-08,ANDROID,RMG,Statics,865.2563414,88,24.49512204,1.122602037,0.061244311,,3,U.S.
2024-08-08,ANDROID,Sportsbetting,Statics,1270.728612,12,105.894051,2.04687493,0.129641837,,1,U.S.
2024-08-08,ANDROID,Sportsbetting,Video,8531.111919,178,47.92759505,66.37861159,0.870358163,426.555596,1,U.S.
2024-08-08,ANDROID,RMG,Video,18408.99777,1220,15.81044121,41.68923348,0.954066767,599.561223,4,U.S.
2024-08-08,IOS,RMG,Video,32116.22887,708,71.28728167,25.12744691,0.748472804,571.7766693,4,U.S.
2024-08-08,IOS,RMG,Statics,6374.965359,230,63.5914518,0.577793075,0.32392064,347.7224331,3,U.S.
2024-08-08,IOS,Sportsbetting,Statics,12307.77178,1630,14.99779035,1.232693007,0.265671063,112.5963916,3,U.S.
2024-08-08,IOS,Sportsbetting,Video,24306.98043,1146,53.58456667,33.48731515,0.72860252,517.5638582,3,U.S.
2024-08-09,IOS,Sportsbetting,Playables,162.2808763,6,27.04681271,46.63243571,0.012382015,,1,U.S.
2024-08-09,IOS,RMG,Playables,272.3102748,2,136.1551374,95.88389957,0.028484716,,1,U.S.
2024-08-09,ANDROID,RMG,Statics,1014.592295,96,16.78812745,1.260514423,0.073649215,83.24412862,3,U.S.
2024-08-09,ANDROID,Sportsbetting,Statics,1475.643817,10,147.5643817,2.146978108,0.143554983,,1,U.S.
2024-08-09,ANDROID,Sportsbetting,Video,8805.205958,160,28.71296218,42.76911303,0.905725388,550.2281095,2,U.S.
2024-08-09,ANDROID,RMG,Video,18280.20426,1234,15.50163098,37.1140047,0.944763089,903.2814654,4,U.S.
2024-08-09,IOS,RMG,Video,32954.32839,670,116.6405574,23.62083209,0.743564879,768.2242774,4,U.S.
2024-08-09,IOS,RMG,Statics,7683.046076,258,47.12158874,0.556249809,0.332418589,354.2910483,3,U.S.
2024-08-09,IOS,Sportsbetting,Statics,11943.15078,1340,14.37722724,1.146323806,0.237496373,84.82510436,3,U.S.
2024-08-09,IOS,Sportsbetting,Video,26154.86406,1448,48.79762044,29.62228868,0.758376289,285.9191815,3,U.S.
2024-08-10,ANDROID,Sportsbetting,Playables,459.6224877,4,114.9056219,34.42349368,0.315523699,,1,U.S.
2024-08-10,IOS,RMG,Playables,291.9329018,2,145.9664509,99.7038599,0.029855329,,1,U.S.
2024-08-10,ANDROID,RMG,Statics,959.6164917,88,11.24043385,1.152121967,0.066993545,151.5812047,3,U.S.
2024-08-10,ANDROID,Sportsbetting,Video,9800.480664,280,35.00171666,50.99564979,0.631556397,510.8325326,2,U.S.
2024-08-10,ANDROID,Sportsbetting,Statics,2046.776912,22,84.35655083,1.743034517,0.210681754,,2,U.S.
2024-08-10,ANDROID,RMG,Video,20002.72221,1432,14.66952233,39.07693179,0.949754841,600.0188108,4,U.S.
2024-08-10,IOS,RMG,Video,33844.93956,726,74.02326919,26.28043899,0.744841255,1221.948516,4,U.S.
2024-08-10,IOS,RMG,Statics,7717.418386,250,69.46809655,0.559676714,0.330259884,434.3099695,3,U.S.
2024-08-10,IOS,Sportsbetting,Statics,11968.43309,1308,17.33080548,1.021584963,0.210500634,97.29411848,3,U.S.
2024-08-10,IOS,Sportsbetting,Video,29573.28967,1942,54.85229544,32.90096272,0.78750846,499.2349988,3,U.S.
2024-08-11,ANDROID,Sportsbetting,Playables,341.800638,2,170.900319,33.66167402,0.26504309,,1,U.S.
2024-08-11,IOS,RMG,Playables,334.9577688,4,83.7394422,97.71230128,0.032511308,,1,U.S.
2024-08-11,ANDROID,RMG,Statics,831.1174329,72,12.53706062,1.088527806,0.059494672,,3,U.S.
2024-08-11,ANDROID,Sportsbetting,Statics,1857.075211,16,116.0672007,1.624713188,0.221034461,,2,U.S.
2024-08-11,ANDROID,Sportsbetting,Video,10249.38967,152,51.37048904,52.33159747,0.646443995,970.350842,2,U.S.
2024-08-11,ANDROID,RMG,Video,18725.68084,1336,14.3281349,39.06449323,0.955378996,779.2752215,4,U.S.
