date,os,grouped_category,MAU,DAU,country
2024-01-23,ANDROID,Sportsbetting,4332724,719645,U.S.
2024-01-23,IOS,Sportsbetting,17083618,2151575,U.S.
2024-01-24,ANDROID,RMG,4872278,794088,U.S.
2024-01-24,IOS,RMG,5502260,1071767,U.S.
2024-01-24,ANDROID,Sportsbetting,4332724,685915,U.S.
2024-01-24,IOS,Sportsbetting,17083618,2083204,U.S.
2024-01-25,ANDROID,RMG,4872278,786971,U.S.
2024-01-25,IOS,RMG,5502260,1016062,U.S.
2024-01-25,ANDROID,Sportsbetting,4332724,808809,U.S.
2024-01-25,IOS,Sportsbetting,17083618,2266310,U.S.
2024-01-26,ANDROID,RMG,4872278,736668,U.S.
2024-01-26,IOS,RMG,5502260,909410,U.S.
2024-01-26,ANDROID,Sportsbetting,4332724,726454,U.S.
2024-01-26,IOS,Sportsbetting,17083618,2257442,U.S.
2024-01-27,ANDROID,RMG,4872278,801930,U.S.
2024-01-27,IOS,RMG,5502260,1169996,U.S.
2024-01-27,ANDROID,Sportsbetting,4332724,806537,U.S.
2024-01-27,IOS,Sportsbetting,17083618,2690867,U.S.
2024-01-28,ANDROID,RMG,4872278,735740,U.S.
2024-01-28,IOS,RMG,5502260,1011876,U.S.
2024-01-28,ANDROID,Sportsbetting,4332724,979595,U.S.
2024-01-28,IOS,Sportsbetting,17083618,2883663,U.S.
2024-01-29,ANDROID,RMG,4872278,699059,U.S.
2024-01-29,IOS,RMG,5502260,830571,U.S.
2024-01-29,ANDROID,Sportsbetting,4332724,810692,U.S.
2024-01-29,IOS,Sportsbetting,17083618,2368970,U.S.
2024-01-30,ANDROID,RMG,4872278,724613,U.S.
2024-01-30,IOS,RMG,5502260,852071,U.S.
2024-01-30,ANDROID,Sportsbetting,4332724,701185,U.S.
2024-01-30,IOS,Sportsbetting,17083618,2087638,U.S.
2024-01-31,ANDROID,RMG,4872278,741874,U.S.
2024-01-31,IOS,RMG,5502260,1022714,U.S.
2024-01-31,ANDROID,Sportsbetting,4332724,668765,U.S.
2024-01-31,IOS,Sportsbetting,17083618,2035351,U.S.
2024-02-01,ANDROID,RMG,4465194,731819,U.S.
2024-02-01,IOS,RMG,4766774,984598,U.S.
2024-02-01,ANDROID,Sportsbetting,3482227,777369,U.S.
2024-02-01,IOS,Sportsbetting,13673467,2200680,U.S.
2024-02-02,ANDROID,RMG,4465194,689969,U.S.
2024-02-02,IOS,RMG,4766774,870901,U.S.
2024-02-02,ANDROID,Sportsbetting,3482227,708568,U.S.
2024-02-02,IOS,Sportsbetting,13673467,2147013,U.S.
2024-02-03,ANDROID,RMG,4465194,747866,U.S.
2024-02-03,IOS,RMG,4766774,1125978,U.S.
2024-02-03,ANDROID,Sportsbetting,3482227,796207,U.S.
2024-02-03,IOS,Sportsbetting,13673467,2436637,U.S.
2024-02-04,ANDROID,RMG,4465194,777469,U.S.
2024-02-04,IOS,RMG,4766774,948552,U.S.
2024-02-04,ANDROID,Sportsbetting,3482227,976076,U.S.
2024-02-04,IOS,Sportsbetting,13673467,2719809,U.S.
2024-02-05,ANDROID,RMG,4465194,737460,U.S.
2024-02-05,IOS,RMG,4766774,787637,U.S.
2024-02-05,ANDROID,Sportsbetting,3482227,798095,U.S.
2024-02-05,IOS,Sportsbetting,13673467,2247760,U.S.
2024-02-06,ANDROID,RMG,4465194,771196,U.S.
2024-02-06,IOS,RMG,4766774,825061,U.S.
2024-02-06,ANDROID,Sportsbetting,3482227,696931,U.S.
2024-02-06,IOS,Sportsbetting,13673467,2035363,U.S.
2024-02-07,ANDROID,RMG,4465194,779730,U.S.
2024-02-07,IOS,RMG,4766774,1004878,U.S.
2024-02-07,ANDROID,Sportsbetting,3482227,662981,U.S.
2024-02-07,IOS,Sportsbetting,13673467,2042367,U.S.
2024-02-08,ANDROID,RMG,4465194,781700,U.S.
2024-02-08,IOS,RMG,4766774,955058,U.S.
2024-02-08,ANDROID,Sportsbetting,3482227,767335,U.S.
2024-02-08,IOS,Sportsbetting,13673467,2230224,U.S.
2024-02-09,ANDROID,RMG,4465194,739408,U.S.
2024-02-09,IOS,RMG,4766774,848355,U.S.
2024-02-09,ANDROID,Sportsbetting,3482227,712652,U.S.
2024-02-09,IOS,Sportsbetting,13673467,2166657,U.S.
2024-02-10,ANDROID,RMG,4465194,794716,U.S.
2024-02-10,IOS,RMG,4766774,1094047,U.S.
2024-02-10,ANDROID,Sportsbetting,3482227,793101,U.S.
2024-02-10,IOS,Sportsbetting,13673467,2432654,U.S.
2024-02-11,ANDROID,RMG,4465194,792924,U.S.
2024-02-11,IOS,RMG,4766774,984075,U.S.
2024-02-11,ANDROID,Sportsbetting,3482227,1039451,U.S.
2024-02-11,IOS,Sportsbetting,13673467,3310411,U.S.
2024-02-12,ANDROID,RMG,4465194,749416,U.S.
2024-02-12,IOS,RMG,4766774,813482,U.S.
2024-02-12,ANDROID,Sportsbetting,3482227,856242,U.S.
2024-02-12,IOS,Sportsbetting,13673467,2588690,U.S.
2024-02-13,ANDROID,RMG,4465194,789040,U.S.
2024-02-13,IOS,RMG,4766774,858572,U.S.
2024-02-13,ANDROID,Sportsbetting,3482227,748388,U.S.
2024-02-13,IOS,Sportsbetting,13673467,2264785,U.S.
2024-02-14,ANDROID,RMG,4465194,792849,U.S.
2024-02-14,IOS,RMG,4766774,1048959,U.S.
2024-02-14,ANDROID,Sportsbetting,3482227,714102,U.S.
2024-02-14,IOS,Sportsbetting,13673467,2253129,U.S.
2024-02-15,ANDROID,RMG,4465194,804416,U.S.
2024-02-15,IOS,RMG,4766774,992348,U.S.
2024-02-15,ANDROID,Sportsbetting,3482227,815217,U.S.
2024-02-15,IOS,Sportsbetting,13673467,2443475,U.S.
2024-02-16,ANDROID,RMG,4465194,752950,U.S.
2024-02-16,IOS,RMG,4766774,892801,U.S.
2024-02-16,ANDROID,Sportsbetting,3482227,778015,U.S.
2024-02-16,IOS,Sportsbetting,13673467,2405215,U.S.
2024-02-17,ANDROID,RMG,4465194,810563,U.S.
2024-02-17,IOS,RMG,4766774,1145591,U.S.
2024-02-17,ANDROID,Sportsbetting,3482227,865182,U.S.
2024-02-17,IOS,Sportsbetting,13673467,2677425,U.S.
2024-02-18,ANDROID,RMG,4465194,761295,U.S.
2024-02-18,IOS,RMG,4766774,1043503,U.S.
2024-02-18,ANDROID,Sportsbetting,3482227,898639,U.S.
2024-02-18,IOS,Sportsbetting,13673467,2342112,U.S.
2024-02-19,ANDROID,RMG,4465194,723568,U.S.
2024-02-19,IOS,RMG,4766774,879052,U.S.
2024-02-19,ANDROID,Sportsbetting,3482227,720409,U.S.
2024-02-19,IOS,Sportsbetting,13673467,1917898,U.S.
2024-02-20,ANDROID,RMG,4465194,754750,U.S.
2024-02-20,IOS,RMG,4766774,910567,U.S.
2024-02-20,ANDROID,Sportsbetting,3482227,633302,U.S.
2024-02-20,IOS,Sportsbetting,13673467,1694904,U.S.
2024-02-21,ANDROID,RMG,4465194,766494,U.S.
